"segment","country","acquisition_channel","cohort_month","total_players","churned_players","active_players","churn_rate_pct","avg_days_before_churn"
"Low","Norway","Organic","2023-01-01","8","8","0","100.00","238.8"
"Low","Norway","Paid Search","2023-01-01","8","7","1","87.50","117.0"
"Low","Norway","Referral","2023-01-01","3","3","0","100.00","82.0"
"Low","Norway","Social","2023-01-01","1","1","0","100.00","80.0"
"Low","Sweden","Affiliate","2023-01-01","16","16","0","100.00","231.9"
"Low","Sweden","Email","2023-01-01","12","12","0","100.00","201.1"
"Low","Sweden","Organic","2023-01-01","13","13","0","100.00","152.1"
"Low","Sweden","Paid Search","2023-01-01","12","12","0","100.00","129.8"
"Low","Sweden","Referral","2023-01-01","2","2","0","100.00","172.5"
"Low","UK","Affiliate","2023-01-01","29","29","0","100.00","149.0"
"Low","UK","Email","2023-01-01","3","3","0","100.00","324.3"
"Low","UK","Organic","2023-01-01","24","23","1","95.83","135.3"
"Low","UK","Paid Search","2023-01-01","24","24","0","100.00","195.5"
"Low","UK","Referral","2023-01-01","10","10","0","100.00","171.1"
"Low","UK","Social","2023-01-01","10","10","0","100.00","155.5"
"Mid","Australia","Affiliate","2023-01-01","13","12","1","92.31","219.8"
"Mid","Australia","Email","2023-01-01","4","3","1","75.00","542.7"
"Mid","Australia","Organic","2023-01-01","11","9","2","81.82","248.6"
"Mid","Australia","Paid Search","2023-01-01","16","16","0","100.00","261.5"
"Mid","Australia","Referral","2023-01-01","6","5","1","83.33","305.2"
"Mid","Australia","Social","2023-01-01","3","3","0","100.00","251.0"
"Mid","Austria","Affiliate","2023-01-01","15","13","2","86.67","232.9"
"Mid","Austria","Email","2023-01-01","8","6","2","75.00","222.7"
"Mid","Austria","Organic","2023-01-01","6","5","1","83.33","248.6"
"Mid","Austria","Paid Search","2023-01-01","13","12","1","92.31","283.8"
"Mid","Austria","Referral","2023-01-01","2","2","0","100.00","488.5"
"Mid","Austria","Social","2023-01-01","5","4","1","80.00","334.5"
"Mid","Canada","Affiliate","2023-01-01","21","18","3","85.71","280.3"
"Mid","Canada","Email","2023-01-01","9","8","1","88.89","181.1"
"Mid","Canada","Organic","2023-01-01","12","10","2","83.33","345.9"
"Mid","Canada","Paid Search","2023-01-01","12","11","1","91.67","285.3"
"Mid","Canada","Referral","2023-01-01","8","7","1","87.50","307.0"
"Mid","Canada","Social","2023-01-01","6","6","0","100.00","208.8"
"Mid","Finland","Affiliate","2023-01-01","16","16","0","100.00","279.5"
"Mid","Finland","Email","2023-01-01","5","5","0","100.00","247.4"
"Mid","Finland","Organic","2023-01-01","8","8","0","100.00","282.5"
"Mid","Finland","Paid Search","2023-01-01","19","19","0","100.00","202.1"
"Mid","Finland","Referral","2023-01-01","9","9","0","100.00","205.6"
"Mid","Finland","Social","2023-01-01","3","3","0","100.00","276.0"
"Mid","Germany","Affiliate","2023-01-01","53","50","3","94.34","227.7"
"Mid","Germany","Email","2023-01-01","25","23","2","92.00","175.9"
"Mid","Germany","Organic","2023-01-01","34","30","4","88.24","269.7"
"Mid","Germany","Paid Search","2023-01-01","37","35","2","94.59","221.0"
"Mid","Germany","Referral","2023-01-01","5","5","0","100.00","360.4"
"Mid","Germany","Social","2023-01-01","17","15","2","88.24","269.5"
"Mid","Ireland","Affiliate","2023-01-01","11","9","2","81.82","253.6"
"Mid","Ireland","Email","2023-01-01","2","2","0","100.00","401.5"
"Mid","Ireland","Organic","2023-01-01","13","12","1","92.31","305.2"
"Mid","Ireland","Paid Search","2023-01-01","9","9","0","100.00","210.0"
"Mid","Ireland","Referral","2023-01-01","4","4","0","100.00","245.5"
"Mid","Ireland","Social","2023-01-01","5","5","0","100.00","258.8"
"Mid","Malta","Affiliate","2023-01-01","9","8","1","88.89","264.8"
"Mid","Malta","Email","2023-01-01","4","4","0","100.00","289.0"
"Mid","Malta","Organic","2023-01-01","6","4","2","66.67","215.0"
"Mid","Malta","Paid Search","2023-01-01","11","7","4","63.64","263.1"
"Mid","Malta","Referral","2023-01-01","1","1","0","100.00","296.0"
"Mid","Malta","Social","2023-01-01","1","1","0","100.00","370.0"
"Mid","Netherlands","Affiliate","2023-01-01","14","11","3","78.57","168.5"
"Mid","Netherlands","Email","2023-01-01","1","1","0","100.00","141.0"
"Mid","Netherlands","Organic","2023-01-01","9","8","1","88.89","309.4"
"Mid","Netherlands","Paid Search","2023-01-01","13","12","1","92.31","242.8"
"Mid","Netherlands","Referral","2023-01-01","1","1","0","100.00","519.0"
"Mid","Netherlands","Social","2023-01-01","4","3","1","75.00","320.3"
"Mid","New Zealand","Affiliate","2023-01-01","10","8","2","80.00","343.1"
"Mid","New Zealand","Email","2023-01-01","3","2","1","66.67","166.0"
"Mid","New Zealand","Organic","2023-01-01","3","3","0","100.00","196.3"
"Mid","New Zealand","Paid Search","2023-01-01","5","5","0","100.00","190.6"
"Mid","New Zealand","Referral","2023-01-01","6","6","0","100.00","230.5"
"Mid","New Zealand","Social","2023-01-01","2","1","1","50.00","93.0"
"Mid","Norway","Affiliate","2023-01-01","20","16","4","80.00","318.7"
"Mid","Norway","Email","2023-01-01","9","8","1","88.89","299.9"
"Mid","Norway","Organic","2023-01-01","8","7","1","87.50","283.7"
"Mid","Norway","Paid Search","2023-01-01","10","9","1","90.00","283.9"
"Mid","Norway","Referral","2023-01-01","5","5","0","100.00","237.8"
"Mid","Norway","Social","2023-01-01","4","4","0","100.00","318.8"
"Mid","Sweden","Affiliate","2023-01-01","26","25","1","96.15","193.4"
"Mid","Sweden","Email","2023-01-01","13","11","2","84.62","271.1"
"Mid","Sweden","Organic","2023-01-01","17","14","3","82.35","226.4"
"Mid","Sweden","Paid Search","2023-01-01","21","19","2","90.48","198.0"
"Mid","Sweden","Referral","2023-01-01","4","4","0","100.00","263.8"
"Mid","Sweden","Social","2023-01-01","7","7","0","100.00","248.3"
"Mid","UK","Affiliate","2023-01-01","39","34","5","87.18","247.1"
"Mid","UK","Email","2023-01-01","16","15","1","93.75","189.0"
"Mid","UK","Organic","2023-01-01","20","19","1","95.00","329.6"
"Mid","UK","Paid Search","2023-01-01","18","16","2","88.89","174.5"
"Mid","UK","Referral","2023-01-01","7","6","1","85.71","354.5"
"Mid","UK","Social","2023-01-01","15","13","2","86.67","236.8"
"VIP","Australia","Affiliate","2023-01-01","3","1","2","33.33","432.0"
"VIP","Australia","Paid Search","2023-01-01","2","0","2","0.00",NULL
"VIP","Australia","Social","2023-01-01","3","2","1","66.67","528.0"
"VIP","Austria","Affiliate","2023-01-01","1","1","0","100.00","114.0"
"VIP","Austria","Email","2023-01-01","2","1","1","50.00","478.0"
"VIP","Austria","Organic","2023-01-01","1","1","0","100.00","205.0"
"VIP","Austria","Referral","2023-01-01","1","1","0","100.00","290.0"
"VIP","Canada","Affiliate","2023-01-01","2","1","1","50.00","677.0"
"VIP","Canada","Email","2023-01-01","1","0","1","0.00",NULL
"VIP","Canada","Organic","2023-01-01","1","0","1","0.00",NULL
"VIP","Canada","Paid Search","2023-01-01","1","0","1","0.00",NULL
"VIP","Canada","Referral","2023-01-01","1","0","1","0.00",NULL
"VIP","Canada","Social","2023-01-01","2","1","1","50.00","600.0"
"VIP","Finland","Affiliate","2023-01-01","4","0","4","0.00",NULL
"VIP","Finland","Email","2023-01-01","1","1","0","100.00","445.0"
"VIP","Finland","Social","2023-01-01","1","1","0","100.00","144.0"
"VIP","Germany","Affiliate","2023-01-01","9","4","5","44.44","548.3"
"VIP","Germany","Email","2023-01-01","3","2","1","66.67","245.5"
"VIP","Germany","Organic","2023-01-01","4","0","4","0.00",NULL
"VIP","Germany","Paid Search","2023-01-01","6","5","1","83.33","186.0"
"VIP","Germany","Referral","2023-01-01","1","1","0","100.00","591.0"
"VIP","Ireland","Affiliate","2023-01-01","1","0","1","0.00",NULL
"VIP","Ireland","Email","2023-01-01","1","0","1","0.00",NULL
"VIP","Ireland","Organic","2023-01-01","3","1","2","33.33","422.0"
"VIP","Ireland","Paid Search","2023-01-01","2","0","2","0.00",NULL
"VIP","Ireland","Referral","2023-01-01","1","0","1","0.00",NULL
"VIP","Ireland","Social","2023-01-01","3","2","1","66.67","441.5"
"VIP","Malta","Paid Search","2023-01-01","2","0","2","0.00",NULL
"VIP","Malta","Social","2023-01-01","2","1","1","50.00","165.0"
"VIP","Netherlands","Paid Search","2023-01-01","3","0","3","0.00",NULL
"VIP","New Zealand","Affiliate","2023-01-01","2","0","2","0.00",NULL
"VIP","New Zealand","Paid Search","2023-01-01","1","1","0","100.00","333.0"
"VIP","New Zealand","Referral","2023-01-01","1","0","1","0.00",NULL
"VIP","New Zealand","Social","2023-01-01","1","0","1","0.00",NULL
"VIP","Norway","Affiliate","2023-01-01","1","1","0","100.00","662.0"
"VIP","Norway","Email","2023-01-01","1","0","1","0.00",NULL
"VIP","Norway","Organic","2023-01-01","2","1","1","50.00","277.0"
"VIP","Norway","Paid Search","2023-01-01","2","0","2","0.00",NULL
"VIP","Sweden","Affiliate","2023-01-01","2","1","1","50.00","461.0"
"VIP","Sweden","Email","2023-01-01","1","0","1","0.00",NULL
"VIP","Sweden","Organic","2023-01-01","5","3","2","60.00","226.0"
"VIP","Sweden","Paid Search","2023-01-01","1","0","1","0.00",NULL
"VIP","Sweden","Referral","2023-01-01","1","1","0","100.00","350.0"
"VIP","Sweden","Social","2023-01-01","2","1","1","50.00","385.0"
"VIP","UK","Affiliate","2023-01-01","3","2","1","66.67","451.0"
"VIP","UK","Email","2023-01-01","3","3","0","100.00","122.3"
"VIP","UK","Organic","2023-01-01","4","2","2","50.00","432.5"
"VIP","UK","Paid Search","2023-01-01","3","0","3","0.00",NULL
"VIP","UK","Referral","2023-01-01","3","2","1","66.67","93.5"
"VIP","UK","Social","2023-01-01","1","1","0","100.00","146.0"
"Dormant","Australia","Affiliate","2023-02-01","4","4","0","100.00","87.5"
"Dormant","Australia","Email","2023-02-01","2","2","0","100.00","161.0"
"Dormant","Australia","Organic","2023-02-01","4","4","0","100.00","64.8"
"Dormant","Australia","Paid Search","2023-02-01","3","3","0","100.00","79.7"
"Dormant","Australia","Referral","2023-02-01","3","3","0","100.00","92.3"
"Dormant","Australia","Social","2023-02-01","2","2","0","100.00","41.5"
"Dormant","Austria","Affiliate","2023-02-01","6","6","0","100.00","116.8"
"Dormant","Austria","Organic","2023-02-01","6","6","0","100.00","85.7"
"Dormant","Austria","Paid Search","2023-02-01","5","5","0","100.00","110.0"
"Dormant","Austria","Referral","2023-02-01","2","2","0","100.00","62.0"
"Dormant","Austria","Social","2023-02-01","1","1","0","100.00","41.0"
"Dormant","Canada","Affiliate","2023-02-01","9","9","0","100.00","108.2"
"Dormant","Canada","Email","2023-02-01","3","3","0","100.00","55.3"
"Dormant","Canada","Organic","2023-02-01","6","6","0","100.00","77.5"
"Dormant","Canada","Paid Search","2023-02-01","5","5","0","100.00","74.0"
"Dormant","Canada","Referral","2023-02-01","1","1","0","100.00","79.0"
"Dormant","Canada","Social","2023-02-01","1","1","0","100.00","30.0"
"Dormant","Finland","Affiliate","2023-02-01","8","8","0","100.00","86.8"
"Dormant","Finland","Email","2023-02-01","1","1","0","100.00","116.0"
"Dormant","Finland","Organic","2023-02-01","6","6","0","100.00","83.7"
"Dormant","Finland","Paid Search","2023-02-01","6","6","0","100.00","115.8"
"Dormant","Finland","Social","2023-02-01","3","3","0","100.00","83.0"
"Dormant","Germany","Affiliate","2023-02-01","22","22","0","100.00","96.7"
"Dormant","Germany","Email","2023-02-01","3","3","0","100.00","58.0"
"Dormant","Germany","Organic","2023-02-01","9","9","0","100.00","93.1"
"Dormant","Germany","Paid Search","2023-02-01","8","8","0","100.00","73.4"
"Dormant","Germany","Referral","2023-02-01","1","1","0","100.00","137.0"
"Dormant","Germany","Social","2023-02-01","2","2","0","100.00","147.5"
"Dormant","Ireland","Affiliate","2023-02-01","6","6","0","100.00","79.0"
"Dormant","Ireland","Email","2023-02-01","2","2","0","100.00","63.0"
"Dormant","Ireland","Organic","2023-02-01","4","4","0","100.00","79.5"
"Dormant","Ireland","Paid Search","2023-02-01","6","6","0","100.00","63.8"
"Dormant","Ireland","Referral","2023-02-01","2","2","0","100.00","136.5"
"Dormant","Ireland","Social","2023-02-01","2","2","0","100.00","51.5"
"Dormant","Malta","Affiliate","2023-02-01","3","3","0","100.00","95.3"
"Dormant","Malta","Paid Search","2023-02-01","5","5","0","100.00","72.8"
"Dormant","Malta","Referral","2023-02-01","2","2","0","100.00","50.0"
"Dormant","Netherlands","Affiliate","2023-02-01","7","7","0","100.00","75.3"
"Dormant","Netherlands","Email","2023-02-01","2","2","0","100.00","49.5"
"Dormant","Netherlands","Organic","2023-02-01","6","6","0","100.00","91.8"
"Dormant","Netherlands","Paid Search","2023-02-01","4","4","0","100.00","94.3"
"Dormant","Netherlands","Referral","2023-02-01","2","2","0","100.00","70.5"
"Dormant","Netherlands","Social","2023-02-01","1","1","0","100.00","111.0"
"Dormant","New Zealand","Affiliate","2023-02-01","6","6","0","100.00","106.8"
"Dormant","New Zealand","Organic","2023-02-01","1","1","0","100.00","127.0"
"Dormant","Norway","Affiliate","2023-02-01","7","7","0","100.00","68.0"
"Dormant","Norway","Email","2023-02-01","2","2","0","100.00","96.5"
"Dormant","Norway","Organic","2023-02-01","1","1","0","100.00","59.0"
"Dormant","Norway","Paid Search","2023-02-01","4","4","0","100.00","175.3"
"Dormant","Norway","Referral","2023-02-01","2","2","0","100.00","118.0"
"Dormant","Norway","Social","2023-02-01","2","2","0","100.00","37.5"
"Dormant","Sweden","Affiliate","2023-02-01","6","6","0","100.00","74.8"
"Dormant","Sweden","Email","2023-02-01","1","1","0","100.00","52.0"
"Dormant","Sweden","Organic","2023-02-01","3","3","0","100.00","49.3"
"Dormant","Sweden","Paid Search","2023-02-01","6","6","0","100.00","76.5"
"Dormant","Sweden","Referral","2023-02-01","3","3","0","100.00","81.3"
"Dormant","Sweden","Social","2023-02-01","4","4","0","100.00","81.3"
"Dormant","UK","Affiliate","2023-02-01","13","13","0","100.00","108.4"
"Dormant","UK","Email","2023-02-01","6","6","0","100.00","70.7"
"Dormant","UK","Organic","2023-02-01","5","5","0","100.00","107.8"
"Dormant","UK","Paid Search","2023-02-01","14","14","0","100.00","105.0"
"Dormant","UK","Referral","2023-02-01","4","4","0","100.00","75.0"
"Dormant","UK","Social","2023-02-01","2","2","0","100.00","135.0"
"High","Australia","Affiliate","2023-02-01","3","3","0","100.00","362.0"
